位号,元件名称,型号/规格,封装,数量,类别,装配,备注
U1,ESP32模组,ESP32-WROOM-32E-N4,SMD-38,1,核心模块,必焊,可选N8;GPIO16/17用作UART2
U2,语音模块,ASRPRO-CORE-4M,SMD-18,1,核心模块,必焊,可选2M;18x23mm邮票孔
J1,Type-C母座,6P USB-C沉板/贴片,SMD,1,连接器,必焊,仅供电;CC双下拉兼容C-C线;数据不接
R1,CC下拉电阻,5.1kΩ,0603,1,电阻,必焊,CC1
R2,CC下拉电阻,5.1kΩ,0603,1,电阻,必焊,CC2
F1,自恢复保险丝,1.5A/6V,1812,1,保护,必焊,VBUS过流保护
U4,DC-DC降压,SY8089A1AAC(3.3V/2A固定输出),SOT-23-5,1,电源,必焊,同步整流无需续流二极管
L1,功率电感,2.2uH/2.1A(DCR<80mΩ),4030一体成型,1,电源,必焊,紧邻U4 SW脚;不可省略
C3,DC-DC输入电容,10uF/10V X5R,0805,1,电容,必焊,紧贴U4 VIN脚
C4,DC-DC输出电容,22uF/10V X5R,0805,1,电容,必焊,紧贴U4 VOUT脚
C5,DC-DC高频旁路,100nF/50V,0603,1,电容,必焊,与C4并排放置
C1,5V轨储能电容,100uF/10V,钽B型/聚合物,1,电容,必焊,5V入口
C2,5V轨高频电容,10uF/10V,0603,1,电容,必焊,5V入口
R7,U4 EN上拉,100kΩ,0603,1,电阻,必焊,U4 EN->5V;新增
R3,ESP32 EN上拉,10kΩ,0603,1,电阻,必焊,EN->3.3V
C6,ESP32 EN复位电容,1uF/10V,0603,1,电容,必焊,EN->GND构成RC上电复位
SW1,复位按键,轻触开关3x4mm,SMD,1,按键,必焊,ESP32 EN->GND
R4,GPIO0上拉电阻,10kΩ,0603,1,电阻,必焊,GPIO0->3.3V
SW2,BOOT按键,轻触开关3x4mm,SMD,1,按键,必焊,GPIO0->GND进下载模式
R5,GPIO12下拉电阻,10kΩ,0603,1,电阻,必焊,必须(MTDI strapping脚)
C7,ESP32去耦电容,10uF/10V,0603,1,电容,必焊,靠模组3V3供电脚
C8,ESP32去耦电容,100nF/50V,0603,1,电容,必焊,靠模组3V3供电脚
LED1,电源指示灯,红色LED,0603,1,LED,可选,配LED1
R6,LED限流电阻,1kΩ,0603,1,电阻,可选,配LED1
LED2,状态指示灯,绿色LED,0603,1,LED,可选,接ESP32 GPIO
R14,LED限流电阻,1kΩ,0603,1,电阻,可选,配LED2
FB1,磁珠,600Ω@100MHz/1A,0805,1,保护,必焊,5V->ASR-PRO Pin17;与C11/C12构成π型滤波
C11,ASR-PRO储能电容,470uF/10V低ESR,钽D型/聚合物,1,电容,必焊,紧贴ASR-PRO Pin17;防播报掉电+滤电源纹波
C12,ASR-PRO去耦电容,100nF/50V,0603,1,电容,必焊,紧贴ASR-PRO Pin17
C13,ASR-PRO 3V3脚电容,4.7uF/10V,0603,1,电容,必焊,模组Pin1内部LDO输出必须外接
R15,供电轨选择电阻,0Ω,0603,1,电阻,默认焊接,5V经FB1直供Pin17;改用U5时拆除
U5,备用独立LDO,删除/不焊,SOT-23-5,1,电源,不焊,禁止用3.3V给ASR-PRO供电
MIC1,麦克风,驻极体或模拟MEMS,直插/SMD,1,声学,必焊,灵敏度-32±3dB;信噪比>=65dB
R11,麦克风偏置电阻,2.2kΩ,0603,1,电阻,必焊,按ASR-PRO参考设计
C9,麦克风耦合电容,1uF/10V,0603,1,电容,必焊,隔直
C10,麦克风滤波电容,100nF/50V,0603,1,电容,必焊,滤波
FB2,磁珠,600Ω@100MHz/200mA,0603,1,保护,可选,麦克风偏置电源隔离
J2,喇叭连接器,XH2.54-2P卧贴,SMD,1,连接器,必焊,接SPKL+/-
SPK1,喇叭,8Ω 2W带腔体,外接,1,声学,必焊,装配时喇叭线双绞
J3,ASR烧录口,2.54mm排针1x5P,直插,1,连接器,必焊,PB5/PB6/PA4/5V/GND
J4,ESP32下载口,2.54mm焊盘1x6P,可焊排针,1,连接器,必焊,EN/IO0/TX0/RX0/3V3/GND
R12,串口串联电阻,100Ω,0603,1,电阻,必焊,PA2->GPIO17;靠近ASR-PRO端
R13,串口串联电阻,0Ω或33Ω,0603,1,电阻,必焊,靠近ESP32端;原100Ω改0Ω/33Ω
R16,串口串联电阻,100Ω,0603,1,电阻,必焊,GPIO16->PA3;靠近ESP32端
R17,串口串联电阻,0Ω或33Ω,0603,1,电阻,必焊,靠近ASR-PRO端;原100Ω改0Ω/33Ω
U6,备用功放,NS4160(3W D类),SOP-8,1,半导体,不焊,不能直接接ASR-PRO SPK+/-
C16,功放输入耦合电容,1uF/10V,0603,1,电容,不焊,可选配U6
C17,功放去耦电容,10uF/10V,0603,1,电容,不焊,可选配U6
C18,功放去耦电容,100nF/50V,0603,1,电容,不焊,可选配U6
TP1-TP5,测试点,裸铜焊盘,SMD,5,辅助,可选,5V/3.3V/GND/TX/RX
